#|frequency	|flux	|
103.211380495	-0.000971087138169	
103.209427159	0.000124821672216	
103.207473823	0.00162465695757	
103.205520487	0.000702018907759	
103.203567151	-0.00104581809137	
103.201613815	-0.000535378407221	
103.199660479	-0.000367773580365	
103.197707143	0.000712521781679	
103.195753807	0.000609199109022	
103.193800471	0.000848734751344	
103.191847135	0.00185595534276	
103.189893799	0.0015906119952	
103.187940463	0.00139179441612	
103.185987127	0.00105609721504	
103.184033791	0.00109330413397	
103.182080455	0.000605861656368	
103.180127119	0.00122515449766	
103.178173783	0.000826165254693	
103.176220447	0.0013097547926	
103.174267111	0.00113945896737	
103.172313775	0.000533538812306	
103.170360439	0.000283929985017	
103.168407103	0.000296230777167	
103.166453767	0.000139280076837	
103.164500431	-0.000248411641223	
103.162547095	0.000744222546928	
103.160593759	0.000197455199668	
103.158640423	-5.68456016481e-05	
103.156687087	-0.000110812477942	
103.154733751	-0.000436814560089	
103.152780415	-0.000105192557385	
103.150827079	-0.000179654889507	
103.148873743	-0.00037317519309	
103.146920407	0.000155171801453	
103.144967071	4.05180435337e-05	
103.143013735	-0.000300773914205	
103.141060399	0.000532639329322	
103.139107063	0.000602949352469	
103.137153727	-0.000420104508521	
103.135200391	0.000290547352051	
103.133247055	0.000178929272806	
103.131293719	0.000219770736294	
103.129340383	-0.000454888038803	
103.127387047	-0.000166001060279	
103.125433711	0.000695438706316	
103.123480375	-0.00039952568477	
103.121527039	-0.000230017103604	
103.119573703	0.000396778079448	
103.117620367	0.00045519505511	
103.115667031	-0.000109626147605	
103.113713695	6.30812792224e-05	
103.111760359	-0.00068964791717	
103.109807023	8.81969390321e-05	
103.107853687	0.000505030911881	
103.105900351	0.000818936096039	
103.103947015	3.50377449649e-05	
103.101993679	-6.78975338815e-05	
103.100040343	-8.95909179235e-05	
103.098087007	-0.00128724472597	
103.096133671	-0.000619583413936	
103.094180335	-0.000379294797312	
103.092226999	-3.0157947549e-05	
103.090273663	-6.60129444441e-05	
103.088320327	-0.00042711259448	
103.086366991	-0.000583518412896	
103.084413655	-0.000334973592544	
103.082460319	-0.000203153569601	
103.080506983	-0.000750489125494	
103.078553647	-0.000149228289956	
103.076600311	-0.00106359296478	
103.074646975	-7.01008975739e-05	
103.072693639	0.000435369322076	
103.070740303	-0.000368442793842	
103.068786967	-0.000508700613864	
103.066833631	-0.00110336241778	
103.064880295	-0.000921613245737	
103.062926959	0.00014470377937	
103.060973623	-0.00105292338412	
103.059020287	-0.000481994065922	
103.057066951	-0.000118169373309	
103.055113615	0.000250219571171	
103.053160279	-0.000875797937624	
103.051206943	-0.00088626757497	
103.049253607	-0.000757842324674	
103.047300271	0.000627949950285	
103.045346935	-0.000285190297291	
103.043393599	-0.000322162261	
103.041440263	-0.000207503428101	
103.039486927	-0.000349871726939	
103.037533591	-0.000956290692557	
103.035580255	-0.000726790283807	
103.033626919	0.000110400855192	
103.031673583	0.00063162605511	
103.029720247	6.5148473368e-05	
103.027766911	-0.000910625676624	
103.025813575	0.000177732581506	
103.023860239	-0.000632291019429	
103.021906903	-0.000505788135342	
103.019953567	-2.39993587456e-05	
103.018000231	0.000638215860818	
103.016046895	0.000257994950516	
103.014093559	0.000544825685211	
103.012140223	-0.000377203716198	
103.010186887	-0.000115479248052	
103.008233551	-0.00047434863518	
103.006280215	0.000152033942868	
103.004326879	0.000591364630964	
103.002373543	-0.000436189380707	
103.000420207	-0.000350951129803	
102.998466871	0.00054629240185	
102.996513535	0.000339900201652	
102.994560199	0.000575205485802	
102.992606863	0.000349178066244	
102.990653527	-0.000323980319081	
102.988700191	0.00105141720269	
102.986746855	0.000619678408839	
102.984793519	0.000531502300873	
102.982840183	-0.000392069865484	
102.980886847	0.000242541209445	
102.978933511	-0.000762659416068	
102.976980175	0.00044371545664	
102.975026839	0.000673953210935	
102.973073503	0.00132413231768	
102.971120167	0.00159054750111	
102.969166831	0.00171037740074	
102.967213495	0.00146228447556	
102.965260159	0.00151460582856	
102.963306823	0.00149882852565	
102.961353487	0.00216158968396	
102.959400151	0.00254745176062	
102.957446815	0.00321828760207	
102.955493479	0.00362980272621	
102.953540143	0.00352571625262	
102.951586807	0.00231355288997	
102.949633471	0.00248912186362	
102.947680135	0.00145948003046	
102.945726799	0.00225704954937	
102.943773463	0.00150352611672	
102.941820127	0.0011666668579	
102.939866791	0.000720371783245	
102.937913455	0.000541556219105	
102.935960119	0.000822097703349	
102.934006783	-0.000128587722429	
102.932053447	0.00039191354881	
102.930100111	0.00109342462383	
102.928146775	0.000323253916577	
102.926193439	-4.93309289595e-06	
102.924240103	0.00110074761324	
102.922286767	0.000181755793164	
102.920333431	0.000949785404373	
102.918380095	0.00103684840724	
102.916426759	0.000458605616586	
